"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 30, 2019","1.8905","1.9945","2.0229","1.8497","19.23M","-5.17%"
"Mar 29, 2019","1.9935","1.7476","2.0547","1.7448","19.92M","14.07%"
"Mar 28, 2019","1.7476","1.7864","1.7864","1.7186","12.89M","-2.17%"
"Mar 27, 2019","1.7863","1.6267","1.8019","1.6182","16.12M","9.81%"
"Mar 26, 2019","1.6267","1.6651","1.6699","1.5643","13.39M","-2.30%"
"Mar 25, 2019","1.6650","1.7263","1.7319","1.6070","15.31M","-3.55%"
"Mar 24, 2019","1.7263","1.7885","1.8381","1.7112","15.00M","-3.48%"
"Mar 23, 2019","1.7885","1.6599","1.7887","1.6361","15.35M","7.75%"
"Mar 22, 2019","1.6599","1.5475","1.6827","1.5365","11.55M","7.26%"
"Mar 21, 2019","1.5475","1.5510","1.6472","1.4711","18.09M","-0.22%"
"Mar 20, 2019","1.5510","1.4871","1.5518","1.4494","11.11M","4.30%"
"Mar 19, 2019","1.4870","1.4881","1.5022","1.4645","8.29M","-0.08%"
"Mar 18, 2019","1.4882","1.5031","1.5329","1.4389","4.97M","-0.99%"
